,start date,end date,start year,start month,start day,end year,end month,end day,chla mean,chla geometric mean,chla median,chla std,chla geometric std,chla variance,chla N,chla IQR
25,2024-09-21,2024-09-28,2024,09,21,2024,09,28,0.04896033,0.048216973,0.048098594,0.00889095,1.1890174,7.9048994e-05,12162,0.008843940682709217
26,2024-09-29,2024-10-06,2024,09,29,2024,10,06,0.07601733,0.07032603,0.066172555,0.03545484,1.4487127,0.0012570457,14395,0.03138546086847782
27,2024-10-07,2024-10-14,2024,10,07,2024,10,14,0.07448503,0.069051825,0.062017024,0.03621863,1.4258518,0.0013117892,21430,0.023138390854001045
28,2024-10-15,2024-10-22,2024,10,15,2024,10,22,0.07600924,0.069181934,0.06292971,0.040443033,1.494271,0.001635639,23692,0.03032947424799204
29,2024-10-23,2024-10-30,2024,10,23,2024,10,30,0.072192214,0.06659876,0.05999556,0.034883987,1.452303,0.0012168925,24958,0.03219936974346638
30,2024-10-31,2024-11-07,2024,10,31,2024,11,07,0.08586989,0.08024112,0.0749304,0.03665021,1.41763,0.0013432378,25647,0.028822313994169235
31,2024-11-08,2024-11-15,2024,11,08,2024,11,15,0.08509414,0.0799355,0.072836414,0.03500178,1.3956281,0.0012251247,27699,0.033968228846788406
32,2024-11-16,2024-11-23,2024,11,16,2024,11,23,0.095379725,0.08898642,0.08413698,0.0404306,1.4262676,0.0016346336,23918,0.040842315182089806
33,2024-11-24,2024-12-01,2024,11,24,2024,12,01,0.097827025,0.09274196,0.08939338,0.033862386,1.3781468,0.0011466611,18717,0.04448308050632477
34,2024-12-02,2024-12-09,2024,12,02,2024,12,09,0.08745435,0.083194785,0.07678057,0.030884946,1.3511258,0.0009538799,21190,0.027102235704660416
35,2024-12-10,2024-12-17,2024,12,10,2024,12,17,0.09847874,0.094056584,0.08838693,0.031777747,1.3444667,0.0010098253,27690,0.038832662627100945
36,2024-12-18,2024-12-25,2024,12,18,2024,12,25,0.100429386,0.0957814,0.08878328,0.0323602,1.3529234,0.0010471825,25431,0.04888046160340309
37,2024-12-26,2024-12-31,2024,12,26,2024,12,31,0.10669463,0.10029419,0.10604176,0.036022943,1.4386091,0.0012976523,8922,0.04844038002192974
38,2025-01-01,2025-01-08,2025,01,01,2025,01,08,0.11191226,0.107184045,0.09580286,0.036720008,1.3222121,0.001348359,22959,0.03530314564704895
39,2025-01-09,2025-01-16,2025,01,09,2025,01,16,0.11985416,0.116062224,0.11067648,0.031747766,1.2829537,0.0010079207,26529,0.04217654466629028
40,2025-01-17,2025-01-24,2025,01,17,2025,01,24,0.121036984,0.1171597,0.11277264,0.032123577,1.2867281,0.0010319242,27042,0.038053588941693306
41,2025-01-25,2025-02-01,2025,01,25,2025,02,01,0.110018365,0.10446101,0.102902845,0.036661725,1.3758465,0.0013440821,20202,0.050724953413009644
42,2025-02-02,2025-02-09,2025,02,02,2025,02,09,0.08979598,0.086739466,0.07977912,0.025736868,1.2885782,0.0006623864,23002,0.027960415929555893
43,2025-02-10,2025-02-17,2025,02,10,2025,02,17,0.09702114,0.091806106,0.08652855,0.03471793,1.3832887,0.0012053346,16815,0.043363507837057114
44,2025-02-18,2025-02-25,2025,02,18,2025,02,25,0.09502702,0.091084294,0.083934315,0.030441554,1.321825,0.0009266882,28928,0.034323858097195625
45,2025-02-26,2025-03-05,2025,02,26,2025,03,05,0.08493517,0.07984403,0.07510522,0.032636955,1.4037359,0.0010651709,26994,0.03563033230602741
46,2025-03-06,2025-03-13,2025,03,06,2025,03,13,0.08730146,0.082926355,0.07726139,0.031053033,1.359382,0.00096429087,26531,0.031334128230810165
47,2025-03-14,2025-03-21,2025,03,14,2025,03,21,0.0863639,0.08142287,0.07775774,0.032560043,1.3955991,0.0010601565,28159,0.03703785687685013
48,2025-03-22,2025-03-29,2025,03,22,2025,03,29,0.0772052,0.07169114,0.06702131,0.0356592,1.4407276,0.0012715786,21509,0.038743261247873306
49,2025-03-30,2025-04-06,2025,03,30,2025,04,06,0.07327357,0.06698032,0.06195018,0.037590593,1.4887247,0.0014130527,24981,0.036865804344415665
50,2025-04-07,2025-04-14,2025,04,07,2025,04,14,0.09014068,0.08242109,0.079764046,0.043628223,1.5012692,0.001903422,10922,0.04793839529156685
51,2025-04-15,2025-04-22,2025,04,15,2025,04,22,0.06380139,0.05950997,0.05484437,0.032312583,1.3873513,0.001044103,12817,0.0120401531457901
52,2025-04-23,2025-04-30,2025,04,23,2025,04,30,0.072759226,0.06973198,0.0664522,0.027474592,1.3048753,0.0007548532,24499,0.01886533573269844
